speed,airbag,seatbelt,frontal,sex,age,vehYear,Deploy,injSeverity
40-54,none,none,1,m,39,1994,0,3
40-54,airbag,none,1,f,31,1998,0,2
40-54,airbag,none,1,m,37,1998,0,2
40-54,none,belted,0,f,20,1984,0,0
40-54,none,belted,0,m,26,1984,0,0
25-39,airbag,belted,0,m,54,1995,0,1
25-39,airbag,belted,0,f,51,1995,0,3
25-39,airbag,belted,1,m,66,1991,0,0
40-54,airbag,belted,1,f,67,1993,1,0
40-54,airbag,belted,0,m,52,1996,0,1
40-54,airbag,belted,0,f,49,1996,0,1
25-39,none,belted,1,f,79,1986,0,2
40-54,airbag,belted,1,m,19,1992,0,0
40-54,airbag,belted,1,f,19,1992,0,0
40-54,airbag,none,1,m,42,1994,1,0
25-39,none,belted,0,m,56,1991,0,3
40-54,airbag,belted,1,m,16,1993,1,3
55+,airbag,belted,1,f,22,1998,0,4
40-54,none,none,1,m,16,1980,0,3
25-39,airbag,belted,1,f,54,1998,1,1
40-54,airbag,belted,1,f,58,1996,1,2
25-39,airbag,belted,1,m,25,1996,1,3
55+,none,belted,0,m,35,1989,0,0
55+,none,belted,0,m,55,1989,0,0
40-54,airbag,belted,1,m,23,1997,1,3
40-54,none,none,0,f,47,1988,0,3
40-54,none,belted,0,m,36,1992,0,0
40-54,none,belted,0,f,42,1992,0,1
25-39,airbag,belted,1,f,36,1997,1,1
55+,none,belted,0,f,42,1986,0,3
40-54,none,belted,0,f,17,1985,0,0
25-39,airbag,belted,1,m,19,1996,0,1
55+,none,belted,1,m,54,1988,0,4
55+,none,belted,1,f,18,1990,0,3
55+,none,belted,1,m,50,1990,0,3
55+,none,belted,1,f,47,1995,0,4
55+,none,belted,0,f,18,1992,0,4
25-39,airbag,belted,1,m,54,1998,1,1
25-39,none,none,1,f,52,1991,0,3
40-54,none,belted,1,f,71,1991,0,3
40-54,none,belted,1,f,17,1993,0,1
25-39,airbag,belted,1,m,54,1998,0,1
25-39,airbag,belted,1,f,54,1998,0,0
40-54,airbag,belted,0,f,41,1995,0,2
40-54,airbag,belted,1,m,45,1999,1,0
40-54,airbag,belted,1,f,45,1999,1,3
25-39,none,belted,1,m,16,1991,0,0
25-39,none,none,1,m,26,1994,0,3
40-54,airbag,belted,1,f,52,1995,1,3
40-54,none,belted,1,m,16,1983,0,1
40-54,none,belted,1,m,65,1989,0,1
40-54,none,belted,1,f,67,1989,0,3
40-54,airbag,none,0,f,20,1993,0,1
40-54,airbag,none,0,m,20,1993,0,0
40-54,none,none,1,f,17,1987,0,1
25-39,none,belted,1,f,20,1994,0,4
40-54,airbag,belted,1,m,29,1998,1,1
40-54,airbag,none,1,f,37,1996,1,3
25-39,none,none,1,f,40,1989,0,3
25-39,airbag,belted,1,f,63,1998,1,3
40-54,airbag,belted,1,f,53,1998,1,0
40-54,airbag,belted,1,m,52,1996,1,3
40-54,airbag,belted,1,m,22,1996,1,0
40-54,none,belted,1,f,16,1990,0,3
25-39,airbag,belted,1,f,58,1996,1,3
25-39,airbag,belted,1,f,59,1996,1,3
40-54,none,none,0,f,27,1988,0,3
40-54,airbag,belted,1,f,42,1999,1,0
40-54,airbag,none,1,f,60,1997,1,3
40-54,none,belted,1,f,18,1993,0,2
25-39,airbag,belted,1,f,30,1994,1,3
40-54,airbag,none,1,m,35,1998,1,2
40-54,airbag,none,1,f,78,1998,1,4
25-39,none,none,1,m,26,1989,0,3
40-54,none,belted,1,f,58,1991,0,3
25-39,none,none,1,m,17,1988,0,2
40-54,airbag,belted,0,f,30,1997,1,4
40-54,none,none,1,f,18,1985,0,2
25-39,airbag,none,1,f,16,1996,1,3
25-39,airbag,none,1,f,16,1996,1,3
25-39,none,belted,1,m,35,1984,0,3
40-54,airbag,belted,1,f,37,1999,1,3
40-54,airbag,belted,1,f,16,1999,1,3
40-54,airbag,belted,1,f,16,1997,1,2
25-39,airbag,belted,1,m,41,1996,1,0
25-39,airbag,belted,1,f,38,1996,1,1
40-54,airbag,belted,1,f,32,1993,0,1
40-54,none,belted,1,m,50,1993,0,0
25-39,airbag,belted,1,m,76,1994,1,1
25-39,airbag,belted,1,f,28,1993,1,3
25-39,airbag,belted,1,m,37,1993,1,1
40-54,airbag,belted,1,f,57,1996,1,1
40-54,airbag,belted,0,f,29,1996,1,2
40-54,airbag,belted,0,f,28,1996,1,3
40-54,airbag,belted,0,m,34,1998,0,0
25-39,airbag,belted,1,m,52,1999,1,3
25-39,airbag,belted,0,f,21,1994,1,1
25-39,airbag,belted,0,f,44,1998,1,0
40-54,airbag,belted,1,f,60,1996,1,2
40-54,none,belted,0,m,20,1989,0,0
40-54,none,belted,0,f,18,1989,0,0
40-54,airbag,none,0,f,32,1998,1,4
40-54,airbag,none,0,m,17,1998,1,4
25-39,none,none,1,m,32,1990,0,2
25-39,none,none,1,m,29,1990,0,2
40-54,airbag,belted,0,m,61,1999,0,1
40-54,airbag,belted,1,m,22,1992,1,0
40-54,airbag,belted,0,f,36,1995,0,1
40-54,airbag,belted,1,f,40,1994,1,1
40-54,none,belted,0,f,59,1988,0,1
40-54,airbag,belted,0,f,21,1999,0,3
40-54,airbag,none,1,f,21,1998,1,3
25-39,none,belted,0,m,77,1989,0,3
25-39,none,none,0,f,85,1989,0,2
55+,airbag,belted,0,m,20,1998,0,0
40-54,airbag,belted,1,m,28,1997,0,0
40-54,airbag,none,1,m,25,1997,0,5
40-54,airbag,belted,1,m,49,1996,1,2
40-54,airbag,belted,1,f,55,1996,1,3
25-39,airbag,belted,1,f,37,1998,1,1
40-54,none,none,1,f,60,1978,0,1
25-39,airbag,none,1,m,38,1998,1,3
40-54,none,belted,0,f,21,1990,0,3
40-54,none,belted,0,f,50,1989,0,2
40-54,airbag,belted,0,m,26,1997,0,0
40-54,airbag,belted,0,f,23,1997,0,1
40-54,airbag,none,1,m,46,1997,1,2
40-54,airbag,belted,1,m,41,1995,1,3
40-54,airbag,belted,1,m,70,1992,1,3
40-54,airbag,belted,1,f,62,1992,1,3
40-54,airbag,belted,1,m,33,1992,1,2
40-54,none,belted,1,f,33,1992,0,3
40-54,airbag,none,0,f,19,1995,1,3
40-54,none,none,0,f,27,1995,0,3
25-39,none,none,1,m,48,1992,0,3
25-39,none,belted,1,f,48,1992,0,3
40-54,none,none,0,m,16,1973,0,2
40-54,none,none,0,m,16,1973,0,0
40-54,airbag,belted,1,f,31,1996,1,3
40-54,airbag,belted,1,m,21,1997,1,0
40-54,airbag,none,1,f,20,1997,1,3
25-39,none,none,1,m,17,1990,0,2
25-39,none,none,1,m,24,1990,0,3
40-54,none,belted,1,m,54,1974,0,1
40-54,none,belted,0,f,19,1981,0,1
40-54,none,belted,0,f,20,1981,0,1
25-39,airbag,belted,1,f,75,1996,1,2
25-39,airbag,none,1,m,48,1998,1,1
40-54,none,none,0,f,48,1986,0,1
40-54,none,none,0,m,31,1986,0,0
25-39,none,none,0,f,53,1980,0,1
25-39,none,belted,1,m,39,1991,0,3
25-39,none,none,1,m,47,1974,0,3
40-54,airbag,belted,0,m,29,1996,0,2
40-54,airbag,belted,0,m,22,1996,0,1
25-39,airbag,none,1,f,23,1993,1,1
25-39,none,none,1,m,23,1993,0,1
40-54,airbag,belted,1,m,85,1994,1,0
40-54,none,belted,1,f,43,1986,0,1
40-54,none,belted,1,f,16,1986,0,0
25-39,airbag,belted,1,f,46,1997,1,3
40-54,none,belted,0,m,44,1985,0,1
40-54,none,belted,0,f,24,1985,0,1
40-54,none,belted,1,m,79,1988,0,1
40-54,none,belted,1,f,77,1988,0,3
25-39,none,belted,1,m,22,1991,0,0
40-54,none,belted,0,f,39,1990,0,3
25-39,airbag,none,1,m,20,1998,1,2
25-39,airbag,none,1,f,18,1998,1,2
40-54,airbag,belted,1,f,18,1994,1,3
40-54,airbag,belted,1,f,17,1994,1,3
40-54,none,belted,1,m,25,1988,0,0
40-54,none,belted,1,f,22,1988,0,1
40-54,none,belted,0,f,30,1988,0,1
40-54,none,belted,0,m,46,1986,0,0
40-54,airbag,belted,1,m,21,1998,1,2
40-54,airbag,none,1,f,18,1998,1,3
55+,airbag,belted,1,f,62,1995,1,3
40-54,none,belted,0,f,29,1986,0,0
40-54,airbag,belted,1,m,29,1997,0,0
40-54,airbag,belted,1,f,30,1997,0,1
40-54,none,belted,1,m,82,1979,0,0
40-54,airbag,belted,0,m,65,1998,0,3
40-54,none,none,1,m,32,1985,0,3
25-39,airbag,none,1,m,57,1998,0,3
25-39,airbag,none,1,f,59,1998,0,4
40-54,none,none,1,m,28,1983,0,1
40-54,none,none,1,m,29,1983,0,1
25-39,airbag,belted,0,f,18,1994,1,3
40-54,airbag,belted,1,f,21,1994,1,3
40-54,none,belted,1,f,16,1994,0,2
40-54,airbag,belted,0,m,35,1994,0,3
40-54,airbag,belted,0,m,29,1994,0,0
40-54,airbag,belted,1,f,49,1998,1,2
55+,none,belted,0,f,74,1989,0,0
55+,none,belted,0,m,84,1989,0,0
40-54,none,belted,1,m,76,1994,0,1
40-54,none,none,1,m,36,1971,0,5
40-54,none,none,1,m,32,1971,0,1
40-54,none,none,0,m,50,1985,0,0
40-54,none,none,0,f,52,1985,0,0
40-54,airbag,none,1,f,19,1998,1,3
55+,airbag,belted,0,f,19,1995,0,0
40-54,airbag,belted,1,f,24,1998,0,3
40-54,none,none,1,m,35,1988,0,3
40-54,airbag,belted,1,f,63,1996,0,2
40-54,none,none,1,m,35,1987,0,0
40-54,none,none,1,f,40,1987,0,1
25-39,none,none,1,m,39,1985,0,2
40-54,none,belted,1,f,30,1991,0,2
40-54,airbag,belted,1,m,83,1995,0,0
40-54,airbag,belted,1,f,82,1995,0,0
25-39,none,none,1,m,86,1989,0,4
40-54,none,belted,1,m,36,1988,0,2
40-54,airbag,belted,1,f,54,1992,1,3
40-54,none,belted,1,f,56,1992,0,3
40-54,none,belted,0,f,65,1986,0,0
25-39,airbag,none,1,f,37,1993,1,1
25-39,none,none,1,m,42,1993,0,2
40-54,airbag,belted,0,f,62,1997,0,0
25-39,airbag,none,1,m,17,1991,1,2
25-39,none,belted,1,f,18,1991,0,0
40-54,none,none,1,f,22,1979,0,3
40-54,none,none,1,m,58,1992,0,0
40-54,none,belted,1,m,83,1992,0,0
25-39,none,none,1,m,53,1994,0,2
25-39,airbag,none,1,f,80,1996,1,4
55+,airbag,belted,1,m,55,1993,1,3
40-54,airbag,belted,1,f,20,1996,0,3
40-54,airbag,belted,0,f,48,1995,0,NA
40-54,none,belted,1,m,18,1988,0,0
40-54,none,belted,0,f,62,1983,0,1
40-54,airbag,belted,1,m,66,1996,1,0
40-54,airbag,belted,0,m,25,1994,0,0
40-54,airbag,belted,0,m,24,1994,0,0
40-54,airbag,belted,1,f,52,1994,0,0
40-54,airbag,belted,0,f,38,1995,0,0
40-54,none,none,1,m,58,1991,0,0
40-54,none,belted,1,f,31,1993,0,2
40-54,none,belted,1,f,29,1994,0,0
25-39,none,belted,1,m,26,1990,0,3
25-39,none,belted,1,f,20,1990,0,3
25-39,airbag,belted,0,f,20,1996,0,0
25-39,airbag,belted,0,f,18,1996,0,0
25-39,none,belted,0,m,36,1987,0,2
40-54,none,belted,0,m,35,1990,0,0
40-54,none,belted,0,f,17,1990,0,3
40-54,none,none,0,m,31,1992,0,4
40-54,none,none,1,m,62,1983,0,4
25-39,none,none,1,m,31,1979,0,0
25-39,none,none,1,m,23,1979,0,0
25-39,none,none,1,f,49,1987,0,3
25-39,none,belted,1,m,78,1987,0,4
25-39,airbag,belted,1,m,22,1998,1,2
25-39,airbag,belted,1,m,19,1998,1,2
25-39,none,belted,1,f,57,1986,0,3
55+,none,none,1,m,48,1981,0,4
40-54,airbag,none,1,f,50,1996,1,1
25-39,none,none,1,m,39,1979,0,2
25-39,none,none,1,m,33,1979,0,2
55+,none,none,0,m,23,1988,0,3
55+,none,belted,0,m,25,1988,0,3
40-54,airbag,belted,1,f,77,1993,0,3
40-54,none,none,0,m,25,1987,0,1
55+,none,none,1,f,45,1986,0,4
40-54,airbag,belted,1,f,34,1999,1,3
40-54,none,belted,0,f,46,1989,0,2
40-54,none,belted,1,m,28,1988,0,0
40-54,none,belted,1,f,41,1988,0,3
40-54,none,none,1,m,18,1985,0,1
25-39,none,belted,0,m,25,1985,0,3
40-54,airbag,belted,0,f,74,1997,0,0
40-54,airbag,none,1,f,20,1998,0,3
40-54,airbag,none,1,f,18,1998,0,3
25-39,airbag,belted,0,f,66,1996,1,1
25-39,airbag,belted,0,f,62,1996,1,3
25-39,airbag,belted,1,f,36,1994,1,1
25-39,airbag,belted,0,m,19,1995,1,1
25-39,airbag,belted,1,f,45,1997,1,3
40-54,airbag,belted,0,m,40,1993,0,2
40-54,airbag,belted,1,m,17,1998,1,1
40-54,airbag,belted,1,m,43,1998,1,3
40-54,airbag,belted,0,m,27,1991,0,1
40-54,airbag,belted,1,m,72,1999,0,3
40-54,airbag,belted,1,f,57,1999,0,0
25-39,airbag,belted,1,f,23,2000,0,3
25-39,none,belted,1,f,78,1992,0,3
40-54,none,belted,1,m,78,1996,0,0
25-39,airbag,belted,1,f,49,1995,1,3
40-54,none,none,1,m,31,1989,0,1
40-54,airbag,belted,0,m,27,1990,0,1
40-54,airbag,belted,0,f,32,1990,0,0
40-54,none,belted,0,m,27,1988,0,0
40-54,none,belted,0,f,42,1988,0,3
40-54,airbag,belted,1,m,46,1997,0,0
40-54,airbag,belted,1,m,31,1995,1,0
40-54,airbag,belted,1,f,27,1995,1,0
25-39,airbag,belted,1,m,23,1995,1,0
40-54,airbag,belted,1,m,67,1994,1,2
40-54,airbag,belted,0,m,37,1996,0,0
40-54,airbag,belted,0,f,43,1996,0,1
25-39,airbag,belted,1,m,23,1999,1,3
25-39,airbag,belted,1,m,21,1999,1,3
25-39,none,none,1,m,18,1981,0,0
25-39,none,belted,1,m,48,1987,0,3
25-39,none,belted,1,m,23,1987,0,1
40-54,none,belted,0,f,21,1990,0,1
40-54,none,belted,1,f,86,1991,0,3
40-54,none,none,1,m,20,1988,0,3
40-54,none,none,1,m,24,1988,0,3
40-54,airbag,belted,1,m,27,1998,1,3
40-54,airbag,belted,1,m,87,1992,0,0
40-54,airbag,belted,0,f,30,1998,0,3
40-54,airbag,belted,0,f,26,1998,0,2
40-54,none,belted,0,f,18,1986,0,0
40-54,airbag,none,1,f,20,1996,0,3
40-54,airbag,none,1,f,18,1996,0,3
40-54,airbag,belted,1,m,57,1996,0,1
40-54,airbag,belted,1,f,61,1996,0,3
25-39,airbag,belted,1,m,73,1998,0,1
40-54,airbag,belted,0,f,18,1999,0,3
40-54,none,none,1,m,24,1991,0,2
25-39,airbag,belted,1,m,37,1999,1,1
40-54,none,belted,0,m,81,1996,0,0
40-54,none,belted,0,f,81,1996,0,1
25-39,airbag,belted,1,m,37,1996,1,3
40-54,none,belted,0,m,62,1980,0,1
40-54,none,belted,1,m,26,1992,0,2
25-39,airbag,belted,0,f,49,1993,1,2
25-39,none,belted,0,f,46,1993,0,3
40-54,airbag,none,1,m,24,1995,1,3
40-54,airbag,none,1,f,21,1995,1,3
25-39,airbag,belted,1,m,55,1994,1,0
25-39,airbag,belted,1,f,55,1994,1,0
40-54,airbag,belted,1,f,58,1998,0,1
40-54,airbag,belted,0,f,37,1991,0,3
40-54,none,belted,0,m,51,1991,0,0
40-54,airbag,belted,1,m,33,1989,0,0
25-39,none,belted,1,m,43,1989,0,1
55+,airbag,belted,1,f,20,1995,0,0
40-54,none,belted,0,m,73,1985,0,3
40-54,airbag,belted,1,f,33,1998,1,1
40-54,airbag,belted,1,m,17,1995,1,2
40-54,airbag,belted,1,f,27,1992,1,3
25-39,airbag,belted,1,f,52,1997,1,3
25-39,none,belted,0,f,23,1990,0,3
25-39,none,belted,0,f,60,1990,0,1
40-54,none,belted,1,m,37,1981,0,1
40-54,airbag,belted,1,f,47,1998,0,1
40-54,none,belted,1,m,29,1992,0,0
40-54,none,belted,0,f,30,1990,0,0
40-54,none,belted,0,f,61,1990,0,1
40-54,airbag,none,0,m,61,1998,1,0
40-54,airbag,belted,1,f,41,1992,0,1
40-54,airbag,belted,1,m,32,1997,1,1
25-39,none,belted,0,m,35,1985,0,2
40-54,none,belted,1,m,41,1993,0,1
25-39,none,belted,0,m,20,1984,0,3
25-39,none,none,0,f,19,1984,0,NA
40-54,none,belted,1,m,29,1987,0,0
40-54,none,belted,1,m,35,1978,0,0
25-39,none,belted,0,m,28,1986,0,3
25-39,airbag,belted,1,f,39,1993,1,1
40-54,airbag,belted,1,m,51,1996,1,3
40-54,none,none,1,m,34,1993,0,5
25-39,airbag,belted,1,f,22,1998,1,3
25-39,airbag,belted,1,m,31,1998,1,1
25-39,none,belted,1,m,61,1985,0,2
25-39,airbag,none,0,m,61,1999,0,1
25-39,airbag,belted,1,f,22,1995,1,0
40-54,airbag,belted,1,f,18,1995,1,1
40-54,airbag,none,0,f,28,1997,0,3
40-54,none,none,1,m,48,1991,0,2
40-54,none,none,1,f,51,1991,0,1
40-54,airbag,belted,1,m,35,1996,0,0
40-54,airbag,belted,1,m,30,1996,0,0
25-39,none,belted,0,m,60,1993,0,3
25-39,none,belted,0,f,51,1993,0,1
40-54,airbag,belted,0,f,45,1997,0,0
40-54,none,belted,1,m,45,1988,0,1
40-54,airbag,belted,1,f,22,1998,1,2
40-54,airbag,belted,1,m,40,1998,0,0
25-39,airbag,belted,0,f,31,1996,0,3
40-54,none,belted,0,f,40,1985,0,3
25-39,airbag,belted,1,m,29,1998,1,0
55+,airbag,belted,1,f,32,1995,1,3
25-39,airbag,belted,0,m,63,1994,1,2
25-39,none,belted,1,m,36,1994,0,1
25-39,none,belted,1,f,82,1973,0,2
40-54,airbag,belted,1,f,31,1993,1,3
25-39,none,belted,1,m,59,1989,0,1
40-54,none,belted,0,f,48,1984,0,0
40-54,none,belted,0,f,46,1984,0,2
40-54,airbag,belted,1,m,21,1991,0,0
40-54,airbag,none,1,f,34,1998,1,1
40-54,airbag,belted,1,f,38,1994,1,1
40-54,airbag,belted,1,m,35,1996,0,0
25-39,airbag,belted,1,m,28,1999,1,3
25-39,none,belted,0,m,21,1988,0,0
25-39,none,belted,0,m,18,1988,0,0
40-54,airbag,belted,1,f,31,1997,0,1
40-54,airbag,belted,1,f,44,1997,0,1
40-54,airbag,belted,1,m,54,1997,0,0
25-39,none,none,0,m,32,1970,0,2
25-39,none,belted,0,m,25,1970,0,2
25-39,airbag,belted,1,m,25,1996,1,0
40-54,airbag,belted,1,m,76,1994,0,0
40-54,airbag,belted,1,m,70,1993,0,1
40-54,airbag,belted,1,f,71,1993,0,1
40-54,none,belted,1,m,49,1986,0,0
40-54,none,belted,1,m,34,1986,0,0
40-54,none,belted,0,m,23,1989,0,0
55+,none,belted,0,m,35,1986,0,1
55+,none,belted,1,m,63,1980,0,0
40-54,none,belted,1,f,27,1993,0,1
40-54,airbag,belted,1,f,35,1993,1,3
25-39,airbag,none,1,m,27,1995,1,2
40-54,none,belted,0,f,28,1989,0,1
40-54,none,belted,0,m,20,1989,0,0
40-54,airbag,belted,1,f,28,1993,1,2
40-54,none,belted,0,m,70,1986,0,0
40-54,none,belted,0,f,69,1986,0,1
40-54,none,belted,1,f,40,1986,0,0
40-54,none,belted,1,f,86,1982,0,3
40-54,none,belted,0,f,75,1992,0,3
40-54,airbag,belted,1,f,74,1999,1,2
40-54,airbag,belted,1,f,31,1995,1,2
55+,airbag,belted,0,m,22,1996,0,2
40-54,none,belted,0,m,76,1988,0,1
40-54,none,belted,1,m,28,1992,0,1
40-54,none,belted,0,m,65,1977,0,1
40-54,airbag,belted,1,m,25,1994,1,2
40-54,airbag,belted,0,m,30,1999,0,1
40-54,none,belted,1,m,37,1986,0,1
40-54,none,belted,1,m,20,1994,0,0
40-54,none,belted,1,m,20,1994,0,0
40-54,airbag,none,1,m,64,1999,0,3
40-54,airbag,belted,1,m,18,1994,1,3
25-39,airbag,none,1,m,55,1995,1,1
25-39,none,none,1,f,54,1995,0,1
40-54,airbag,none,1,m,19,1995,1,3
40-54,airbag,none,1,m,24,1995,1,2
25-39,none,belted,1,m,24,1989,0,1
25-39,airbag,belted,0,f,44,1994,1,1
40-54,airbag,belted,1,m,30,1998,1,2
25-39,none,belted,1,f,59,1980,0,3
25-39,none,belted,1,m,29,1991,0,0
40-54,airbag,belted,0,f,78,1998,0,1
40-54,airbag,belted,0,f,29,1991,0,1
40-54,airbag,belted,1,f,81,1992,1,3
40-54,none,none,0,m,55,1986,0,3
40-54,airbag,belted,1,m,27,1992,1,0
40-54,none,belted,1,m,24,1992,0,4
40-54,none,belted,1,f,30,1985,0,0
40-54,none,belted,1,m,16,1985,0,0
40-54,airbag,belted,1,f,22,1999,1,3
40-54,airbag,belted,1,m,24,1999,1,2
40-54,none,belted,1,m,41,1983,0,3
40-54,airbag,belted,1,m,82,1995,1,2
40-54,none,none,0,m,19,1994,0,3
40-54,none,belted,0,f,19,1994,0,2
40-54,none,belted,0,f,41,1990,0,4
25-39,none,belted,1,m,23,1990,0,1
40-54,airbag,belted,1,f,36,1998,1,2
55+,airbag,belted,0,m,23,1991,0,4
40-54,airbag,belted,1,m,36,1997,1,1
25-39,none,none,0,m,20,1985,0,2
25-39,none,none,0,m,44,1985,0,3
25-39,none,none,1,m,37,1989,0,1
40-54,none,belted,1,f,63,1990,0,1
40-54,none,belted,0,m,32,1987,0,1
40-54,none,belted,0,m,53,1987,0,2
25-39,airbag,belted,1,f,39,1998,1,1
40-54,airbag,belted,0,m,57,1999,1,3
40-54,airbag,belted,0,f,33,1997,0,1
40-54,airbag,belted,1,m,61,1996,1,0
40-54,airbag,belted,0,f,44,1999,0,1
25-39,none,belted,1,f,50,1987,0,1
25-39,none,belted,1,f,23,1990,0,1
25-39,none,belted,1,f,33,1990,0,3
55+,none,belted,0,m,27,1984,0,2
25-39,airbag,belted,1,f,19,1996,1,2
25-39,none,none,1,f,57,1988,0,3
25-39,none,none,1,m,29,1988,0,3
25-39,none,none,1,f,47,1981,0,3
40-54,airbag,belted,1,m,30,1998,1,1
40-54,airbag,none,1,m,91,1997,1,4
40-54,airbag,belted,1,f,81,1997,1,3
25-39,none,none,1,f,79,1982,0,2
40-54,none,belted,1,m,38,1993,0,0
40-54,airbag,belted,1,m,47,1998,1,3
40-54,airbag,belted,1,m,39,1998,1,2
25-39,none,none,1,m,39,1993,0,3
25-39,none,belted,1,m,23,1989,0,2
25-39,none,belted,1,m,17,1989,0,2
55+,airbag,belted,0,f,36,1999,1,4
40-54,airbag,belted,0,m,28,1999,0,0
40-54,airbag,belted,1,f,68,1999,0,1
40-54,airbag,belted,1,m,25,1997,1,1
25-39,airbag,belted,0,f,21,1995,0,1
40-54,airbag,belted,1,f,25,1999,1,0
40-54,none,belted,0,m,18,1990,0,1
40-54,none,none,1,m,18,1989,0,1
40-54,airbag,belted,1,m,64,1997,1,0
40-54,airbag,belted,1,f,81,1997,1,2
40-54,none,belted,1,f,54,1985,0,1
40-54,none,none,1,f,35,1981,0,1
40-54,airbag,belted,0,f,72,1996,1,3
40-54,airbag,belted,0,f,72,1996,0,4
40-54,airbag,belted,1,m,56,1998,1,3
55+,airbag,belted,0,m,29,2000,0,1
55+,airbag,belted,0,m,37,2000,0,3
40-54,airbag,belted,1,m,55,1995,1,3
40-54,airbag,belted,1,f,50,1995,1,1
40-54,airbag,belted,1,f,25,1995,1,2
40-54,none,belted,1,f,24,1992,0,0
40-54,none,belted,1,f,20,1992,0,1
40-54,none,belted,1,m,26,1992,0,2
25-39,none,belted,0,m,53,1980,0,0
25-39,none,belted,0,f,78,1980,0,1
40-54,airbag,belted,1,m,36,1995,0,0
40-54,none,belted,0,f,47,1988,0,2
40-54,none,belted,0,m,38,1988,0,0
55+,airbag,belted,1,m,37,1997,1,2
25-39,none,belted,1,f,24,1986,0,1
25-39,none,belted,0,f,20,1988,0,1
40-54,airbag,belted,1,m,45,1998,1,0
25-39,airbag,belted,1,m,18,1999,1,2
40-54,airbag,belted,1,f,52,1998,1,1
40-54,airbag,belted,1,m,26,2000,1,2
40-54,airbag,belted,1,m,23,2000,1,1
40-54,airbag,none,0,f,23,1996,0,2
40-54,none,belted,1,m,37,1985,0,0
40-54,airbag,belted,1,m,55,1995,0,1
25-39,none,belted,1,f,33,1984,0,1
25-39,none,belted,1,m,16,1984,0,1
55+,none,none,1,m,41,1984,0,3
25-39,none,none,0,m,38,1990,0,3
25-39,airbag,belted,1,f,64,1991,1,3
40-54,none,belted,1,m,24,1992,0,3
25-39,none,belted,1,m,45,1986,0,1
25-39,none,belted,1,f,16,1987,0,3
40-54,none,none,1,f,18,1986,0,2
40-54,none,belted,0,m,24,1989,0,0
40-54,none,belted,0,m,27,1989,0,0
40-54,airbag,belted,1,m,69,1997,1,3
40-54,none,belted,0,m,61,1985,0,3
55+,none,none,1,f,23,1987,0,3
55+,none,none,1,m,31,1987,0,3
40-54,airbag,belted,0,m,20,1996,1,2
40-54,none,belted,1,f,27,1987,0,2
25-39,airbag,belted,0,m,27,1990,0,1
40-54,airbag,none,1,m,19,1995,0,1
40-54,airbag,none,1,m,28,1999,1,3
40-54,airbag,none,1,m,25,1999,1,1
40-54,airbag,belted,1,f,22,1998,1,3
25-39,none,belted,1,f,16,1989,0,3
40-54,none,none,1,m,38,1986,0,3
40-54,none,belted,1,f,29,1989,0,3
40-54,none,belted,1,f,30,1989,0,1
25-39,none,none,0,f,55,1985,0,3
25-39,none,belted,1,f,16,1987,0,0
25-39,none,none,1,f,16,1987,0,1
40-54,airbag,belted,1,f,24,1999,0,0
40-54,airbag,belted,1,f,32,1996,1,0
40-54,airbag,belted,1,m,35,1996,1,0
40-54,none,none,1,f,31,1986,0,3
40-54,none,belted,1,m,21,1984,0,2
25-39,none,belted,1,m,51,1980,0,2
25-39,none,none,1,m,27,1982,0,3
40-54,none,none,1,m,38,1986,0,2
55+,none,none,1,m,78,1986,0,3
55+,airbag,belted,1,m,25,1998,1,2
40-54,airbag,belted,1,f,21,1997,1,2
40-54,none,none,1,m,27,1991,0,3
25-39,airbag,none,1,f,18,1995,1,3
40-54,none,belted,0,f,46,1988,0,2
40-54,airbag,belted,1,f,69,1997,1,3
40-54,none,belted,1,m,32,1986,0,0
40-54,none,belted,1,m,25,1986,0,0
25-39,none,belted,0,f,81,1985,0,3
25-39,none,belted,0,m,81,1985,0,3
40-54,airbag,belted,1,m,21,1989,1,0
25-39,none,belted,0,m,27,1988,0,1
25-39,none,belted,0,f,24,1988,0,1
40-54,airbag,belted,1,m,24,1997,0,0
40-54,airbag,belted,1,f,27,1997,0,0
40-54,none,belted,1,m,34,1988,0,0
25-39,none,belted,0,m,18,1984,0,1
25-39,none,belted,0,m,18,1984,0,3
25-39,airbag,belted,0,f,33,1995,0,3
25-39,airbag,belted,1,f,41,1994,1,2
25-39,airbag,belted,1,f,68,1994,1,3
40-54,none,belted,1,m,33,1977,0,0
40-54,airbag,belted,1,m,25,1996,0,0
40-54,airbag,belted,1,f,21,1996,0,1
25-39,none,none,1,m,53,1989,0,3
40-54,airbag,belted,0,m,35,1997,0,1
40-54,none,belted,0,m,28,1994,0,0
40-54,none,belted,0,m,18,1994,0,1
40-54,none,belted,0,m,19,1989,0,3
40-54,none,none,0,m,17,1989,0,3
40-54,airbag,belted,1,f,58,1991,1,3
40-54,none,belted,1,m,65,1991,0,NA
40-54,airbag,belted,0,f,20,1987,0,0
40-54,airbag,belted,1,f,33,1990,1,3
40-54,none,belted,1,m,16,1989,0,2
25-39,airbag,belted,1,f,33,1998,1,3
25-39,airbag,belted,1,m,30,1997,1,2
40-54,none,belted,1,f,17,1991,0,3
40-54,none,belted,1,m,16,1991,0,2
40-54,none,belted,1,m,27,1981,0,0
40-54,airbag,belted,0,m,61,1998,0,0
40-54,airbag,belted,1,f,61,1995,0,0
